2018-06-25 12:52:34.5711 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:52:34.6981 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:53:05.6875 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-25 12:53:15.5362 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-25 12:53:15.8584 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-25 12:53:15.9248 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-25 12:53:16.0244 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:53:16.0244 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:53:25.6163 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-25 12:53:25.7452 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-25 12:53:25.7589 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-25 12:53:29.0997 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-25 12:53:29.3048 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-25 12:53:29.3438 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-25 12:57:10.6709 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-25 12:57:12.8369 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:57:12.8955 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:57:35.5557 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-25 12:57:44.5909 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-25 12:57:45.0040 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
